Task ID,Supplier ID,Cost
T113,S10,0.3863273323560193
T113,S12,0.3866015719539351
T113,S42,0.3870680813387845
T113,S47,0.3881050114751586
T113,S15,0.3885640438886357
T113,S56,0.3890212048748642
T114,S58,0.3942522963739363
T114,S37,0.4013615089014786
T114,S17,0.4016190823873526
T114,S36,0.4017764191750486
T114,S41,0.4018267937287685
T114,S11,0.4021807158419272
T114,S52,0.4025493800924122
T114,S24,0.4042523797019167
T114,S32,0.4043979881152986
T114,S10,0.4045921923520843
T115,S37,0.3795684824419831
T115,S46,0.384790140123067
T115,S4,0.3877153440999332
T115,S53,0.3904382734516582
T115,S9,0.3910060883864898
T115,S57,0.3928234434698145
T115,S15,0.3944731836586223
T115,S24,0.3956616684375539
T115,S28,0.3963591661247658
T115,S7,0.396562897772605
T116,S7,0.4138240367532392
T116,S15,0.4155072353683486
T116,S56,0.4178984328450377
T116,S52,0.418267719282417
T116,S64,0.4183531405675444
T116,S34,0.4218641221056747
T116,S11,0.4225131240128933
T116,S4,0.4258428911248415
T116,S40,0.4261870346601247
T116,S53,0.4278686126308075
T117,S23,0.4114719318296943
T117,S18,0.4142240382020865
T117,S34,0.4161656990495181
T117,S33,0.4168781851488113
T117,S13,0.4179896284006978
T117,S10,0.4182219261104788
T117,S27,0.4188802810106009
T117,S41,0.4204763887816598
T117,S35,0.4212642548292862
T117,S46,0.4234096271244015
T118,S47,0.3881966295951341
T118,S23,0.3898465832108176
T118,S37,0.3930943088060963
T118,S56,0.3953354690170042
T118,S49,0.395776467251421
T118,S52,0.3972383706421338
T118,S24,0.39756413183172
T118,S27,0.3984189173544548
T118,S28,0.3988451874203165
T118,S34,0.3996429927061585
T119,S55,0.3566303996459709
T119,S41,0.3741238244408519
T119,S22,0.374498951859785
T119,S33,0.3796683010221917
T119,S23,0.383266075251835
T119,S28,0.3862473216271872
T119,S53,0.3866747027707025
T119,S11,0.3908274120493553
T119,S6,0.3908833294000815
T119,S14,0.3919502767125163
T12,S33,0.4395921400782287
T12,S11,0.4408972539215948
T12,S56,0.4495000349273917
T12,S34,0.4525657359802307
T12,S37,0.4584217649945
T12,S6,0.4586925189476704
T12,S28,0.4594873059697072
T12,S27,0.4662907327507021
T12,S30,0.4677318048056559
T12,S4,0.4725056040495777
T120,S9,0.3758772783937399
T120,S23,0.3840064095081673
T120,S56,0.3860476916553899
T120,S10,0.3864036608713284
T120,S33,0.3886460608752051
T120,S14,0.3893801508048728
T120,S27,0.3916548140801339
T120,S52,0.392041942658022
T120,S11,0.3936262666724461
T120,S29,0.3973998407014784
T121,S62,0.3484584196413718
T121,S27,0.3619523477358725
T121,S39,0.3644455799597564
T121,S57,0.3668673948952818
T121,S51,0.3677447066550589
T121,S33,0.3713963032342207
T121,S34,0.3722836694948802
T121,S14,0.3724620518029387
T121,S37,0.3725890441693311
T121,S47,0.3726410280966331
T122,S4,0.3460220507602201
T122,S50,0.3517856298732359
T122,S21,0.3599609593505978
T122,S33,0.3623520668731544
T122,S37,0.3670020319767053
T122,S53,0.3734501501171308
T122,S7,0.3734759154063277
T122,S51,0.3747983347313218
T122,S36,0.3755014821567904
T122,S58,0.375591460042797
T123,S9,0.3948784240605253
T123,S33,0.3986998727656762
T123,S22,0.4039315997927166
T123,S48,0.4053825314491085
T123,S64,0.4064572473390304
T123,S1,0.4076070607280411
T123,S50,0.407862711748088
T123,S56,0.408498661695018
T123,S40,0.4094035496625172
T123,S45,0.409787248727115
T124,S48,0.3915373211435201
T124,S30,0.393675526081945
T124,S61,0.4007964272312179
T124,S47,0.4028057374401768
T124,S36,0.4033796458805119
T124,S22,0.4063286451816092
T124,S8,0.4082235297504675
T124,S10,0.4086235545199366
T124,S62,0.4095906003064803
T124,S27,0.4099785002144379
T125,S64,0.3746924047547129
T125,S15,0.3808318769907226
T125,S56,0.3903751219156413
T125,S9,0.393068368566116
T125,S57,0.393115906503281
T125,S46,0.3937751352490976
